First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Andrew,Barr,Assistant United States Attorney - Dallas Texas,6,"Nixon, Johnson"
Jane Frances,Barrett,Assistant United States Attorney For the District of Maryland,11,"Bush II, Clinton, Bush I"
John Q.,Barrett,Counselor to the Inspector General,6,"Clinton, Bush I, Reagan"
Michael,Barrett,Senior Trial Attorney,34,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Lynsey,Barron,Assistant United States Attorney,4,"Trump, Obama"
John R,"Bartels,jr",Drug Enforcement Administration - Administrator,9,"Ford, Nixon"
Mark,Bartlett,FIrst Assistant United States Attorney,25,"Obama, Bush II, Clinton, Bush I"
Kerri Martin,Bartlett,"Chief Appellate Attorney, USAO SDNY",13,"Clinton, Bush I, Reagan"
Maria,Barton,Assistant United States Attorney,11,"Bush II, Clinton"
Katherine J.,Barton,Trial Attorney ,17,"Trump, Obama, Bush II, Clinton"
Christopher ,Bator ,Assistant United States Attorney,27,"Trump, Obama, Bush II, Clinton, Bush I"
Andrew,Bauer,Assistant United States Attorney,6,Obama
Steven,Bauer,Assistant United States Attorney,4,"Clinton, Bush I"
Felix,Baxter ,Director ,28,"Obama, Bush II, Clinton"
Lewis,Baylor,"Assistant Chief, Land Acquisition Section, ENRD",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Elise,Bean,Trial Attorney,2,Reagan
Barbara,Bearnson,Criminal Chief,24,"Obama, Bush II, Clinton, Bush I"
Eugene,Beatty,Trial Attorney ,4,Reagan
Laurence,Beck,"Senior Trial Attorney, Public Integrity Section",4,"Bush II, Reagan, Carter"
James,Becker,"Chief, Major Crimes, USAO, EDPA",9,"Reagan, Carter"
Daniel,Beckhard,Assistant Inspector General,28,"Trump, Obama, Bush II, Clinton, Bush I"
Peter,Beeson,Trial Attorney,4,"Carter, Ford"
Douglas,Behm,Special Attorney,9,"Reagan, Carter"
Diana,Beinart,GS15,5,"Obama, Bush II"
Stacy,Belf,Assistant United States  Attorney ,8,"Obama, Bush II"
John,Beling,Trial Attorney,5,"Clinton, Bush I, Reagan"
Ira,Belkin,"Chief, Criminal Division, Assistant United States Attorney",17,"Bush II, Clinton, Bush I"
Bernard,Bell,"Assistant United States Attorney, Senior Litigation Counsel",10,"Clinton, Bush I, Reagan"
Ruth Greenspan,Bell,"Trial Attorney, Anti-Trust Division",2,Ford
Daniel,Beller,"Assistant United States Attorney, Chief Major Crimes Unit, SDNY",4,"Carter, Ford, Nixon"
Gina,Belt,Trial Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Craig,Benedict,Assistant United States Attorney,32,"Obama, Bush II, Clinton, Bush I, Reagan"
Lawrence,Benson,Assistant United States Attorney,12,"Clinton, Bush I, Reagan"
Allen,Bentley,Assistant United States Attorney,5,"Carter, Ford"
Arianna,Berg,"Assistant United States Attorney, SDNY and NDCA",9,"Obama, Bush II"
Emily ,Berger ,"Deputy Chief, Criminal Appeals, U.S. Attorneys Office EDNY ",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Paul,Bergman,"Chief, Appeals Division EDNY NY",4,"Ford, Nixon"
Jane C,Bergner,"Trial Attorney, Tax Division",7,"Ford, Nixon, Johnson"
Kenneth,Berlin,"Section Chief, Wildlife & Marine Resources Section",3,"Reagan, Carter"
Stuart,Berman,"Chief, Southern Division, United States Attorney's Office, District of Maryland",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Joshua,Berman,Assistant United States Attorney; Associate Investigative Counsel; Senior Trial Attorney,7.5,"Bush II, Clinton"
Rick,Berne,Assistant United States Attorney. EDNY and NDCA,4,"Carter, Ford"
Amy,Berne,"Chief, Civil Division, USAO, NDGA",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Roger J.,Bernstein,Assistant United States Attorney,6,"Bush I, Reagan"
Eric,Bernstein,Assistant United States Attorney,8,"Clinton, Bush I"
Pamela,Berry,Special Assistant to the Assistant Attorney General Tax Division,9,"Clinton, Bush I"
Anderson,Berry,Assistant United States Attorney,3,"Trump, Obama"
Joy,Bertrand,Special Assistant United States Attorney,3,Bush II
Benjamin,Berwick,Counsel to the Assistant Attorney General,7,"Trump, Obama, Bush II"
Linda,Betzer,Assistant United States Attorney,26,"Bush II, Clinton, Bush I, Reagan"
Anurima ,Bhargava,"Chief, Educational Opportunities Section, CRT",6,"Obama, Bush II"
Dina,Biblin ,Trial Attorney,4,"Bush I, Reagan"
Richard,Bicki,Trial Attorney,4,"Reagan, Carter"
Barbara ,Biddle ,"Acting Director, Appellate Staff, Civil Division ",32,"Obama, Bush II, Clinton, Bush I, Reagan"
Russell,Bikoff,"Deputy Director, Office of International Affairs, CRIM",6,"Bush II, Clinton"
Sheldon “Shay”,Bilchik,Associate Deputy Attorney General,7,Clinton
Michael,Billiel,Trial Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Penny,Billings,"Assistant United States Attorney, Deputy Chief of Major Crimes ",16,"Bush II, Clinton, Bush I"
Nima,Binara,Attorney-Advisor,6,Obama
Neil,Binder,Assistant United States Attorney,4,"Bush II, Clinton"
Ann,Birmingham Scheel,Acting US Attorney/First Assistant,30,"Trump, Obama, Bush II, Clinton, Bush I"
Alan,Birnbaum,Trial Attorney,4,Clinton
Diane,Birnholz,Assistant United States Attorney,5,"Clinton, Bush I"
Barbara,Bisno,"Assistant United States Attorney, Coordinator, Civil Healthcare Fraud SD of FL",14,"Bush II, Clinton, Bush I"
Andrew,Biviano,Assistant United States Attorney,5,"Obama, Bush II"
William,Black,Trial Attorney,1,"Reagan, Carter"
Gary,Black,Trial Attorney,8,"Reagan, Carter"
Carl,Blackstone,Supervisor,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Guy,Blackwell,Court Appointed United States Attorney ,30,"Bush II, Clinton, Bush I, Reagan, Carter"
Kristine,Blackwood,"Assistant United States Attorney, Health Care Fraud Coordinator",12,"Bush II, Clinton"
Paul ,Blaine,"Chief, Civil Division, USANJ",41,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Keith,Blair,Senior Trial Attorney,10,"Bush II, Clinton"
David,Blake-Thomas,Trial Attorney,5,"Bush II, Clinton"
G. Robert,Blakey,Special Attorney ,5,Kennedy
Suzanne,Blanchard,Law Clerk,1,Bush I
Meghan,Blanco,Assistant United States Attorney,5,Obama
Jeff,Blattner,Deputy Assistant Attorney General,3,Clinton
Kathleen,Bliss,"Assistant United States Attorney, Organized Crime Strike Force",22,"Obama, Bush II, Clinton, Bush I"
Robert,Bloch,"Chief, Professions and Intellectual Property Section, Antitrust Division",17,"Clinton, Bush I, Reagan, Carter, Ford"
Peter,Bloch,"Assistant United States Attorney, SDNY ",6,"Reagan, Carter, Ford"
Joseph G (Jerry),Block,"Chief, Environmental Crimes Section, ENRD",6,"Bush I, Reagan"
Ira,Block,"Chief, Official Corruption & Special Prosecutions SDNY",9,"Reagan, Carter, Ford"
Jane,Bloom Grise,"Deputy Chief, Civil Division, SDNY",7,"Reagan, Carter"
David,Blotner,Assistant Chief,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Blume,"Director, Consumer Protection Branch",15,"Trump, Obama, Bush II"
Robert,Blume,"Assistant United States Attorney, Trial Attorney",7,Clinton
Laura,Blumenfeld,"Assistant General Counsel, FBI",42,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jeffrey,Blumenfeld,"Chief, Trial Staff, Antitrust Division",11,"Reagan, Carter, Ford, Nixon"
Benjamin,Blustein,"Senior Trial Attorney, Civil Rights Division",9,"Bush II, Clinton"
J. Tom,Boer,Trial Attorney,7,Bush II
Daniel,Bogden,United States Attorney,25,"Trump, Obama, Bush II, Clinton, Bush I"
Joshua,Bogin,Senior Trial Attorney,10,"Reagan, Carter"
Jeffrey,Bogue,Assistant United States Attorney,4,"Carter, Ford, Nixon"
Kathryn,Boling,Trial Attorney,4,Obama
Helen,Bollwerk,"Executive Assistant United States Attorney for Management - USAO DC; Deputy Pardon Attorney, USDOJ",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Laura,Bonander,Assistant United States Attorney,6,"Obama, Bush II"
Robert  J.,Bondi,Senior LItigation Counsel,33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jane,Bondurant,"Civil Division Chief, Western District of Kentucky",18,"Bush II, Clinton, Bush I, Reagan"
Noah,Bookbinder,Trial Attorney ,5,"Bush II, Clinton"
Richard ,Boote,Senior Attorney ,26,"Bush II, Clinton, Bush I, Reagan, Carter"
JoAnn,Bordeaux,"Deputy Director, Civil Division",28,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Edward,Borden,"Assistant United States Attorney, EDPA",4,"Reagan, Carter"
Matthew,Borgula,Deputy Criminal Chief WDMI US Attorney’s Office,13,"Obama, Bush II"
Tressa,Borland,Senior Trial Attorney ,22,"Bush II, Clinton, Bush I, Reagan"
Jeffrey,Bornstein,Senior Litigation Counsel ,19.6,"Bush II, Clinton, Bush I, Reagan"
Neta,Borshansky,Trial Attorney,5,Obama
Anthony,Borwick,Trial Attorney,6,"Ford, Nixon"
Mark,Boster,Deputy Assistant Attorney for IRM ,5,Clinton
Katharine,Bostick,Chief Organized Crime and Drug Enforcement Task Force,11,"Bush II, Clinton, Bush I"
Cheryl,Botic,Trial Attorney,25,Obama
Barry,Boughman,Assistant United States Attorney,2,Reagan
Frank,Bove,"Assistant United States Attorney, Trial Attorney",31,"Obama, Bush II, Clinton, Bush I, Reagan, Ford, Nixon, Johnson"
Brian,Bowcut,Senior Trial Counsel,9,"Obama, Bush II"
Dawn,Bowen,Assistant United States Attorney,32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Irene,Bowen,Deputy Section Chief,37,"Bush II, Clinton, Bush I, Reagan, Carter"
John,Bowen,Trial Attorney,6,"Reagan, Carter"
Krystal,Bowen,Assistant United States Attorney,6,"Bush II, Clinton"
Susan,Bowers ,Senior Trial Attorney ,5,Bush I
James,Bowman,Assistant United States Attorney,8,"Obama, Bush II"
Robert,Boylan,Trial Attorney ,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Esther,Boynton,Trial Attorney ,2,Carter
William,Boyum,Assistant United States Attorney ,4,Clinton
Megan,Brackney,Assistant United States Attorney,3,"Bush II, Clinton"
Myesha,Braden,Trial Attorney/Legislation & Policy Counsel - CRT,16,"Trump, Obama, Bush II"
Tom,Brady,Trial Attorney,4,Bush II
Michael ,Brady,"Chief, Criminal Division, U. S. Attorney’s Office, Western District of New York",4,"Reagan, Carter"
James,Brady,United States Attorney Western District of Michigan ,4,Carter
Alvin,Bragg,Assistant United States Attorney,3.5,Obama
Joyce,Branda,"Acting Assistant Attorney General, Civil Division",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bert,Brandenburg,Director of Public Affairs,5,Clinton
Robert,Breakstone,Chief Criminal Division (SF),13,"Clinton, Reagan, Nixon"
Laurie,Brecher,"Assistant United States Attorney SDNY: Sr. Trial Counsel, Securities Fraud Task Force and Chief of General Crimes Unit",10,"Clinton, Bush I, Reagan"
Robert,Breisblatt,Assistant United States Attorney,9,"Reagan, Carter"
Kevin,Brenner,Assistant United States Attorney ,9,"Trump, Obama, Bush II"
Kenneth,Bresler,Trial Attorney,6,"Clinton, Bush I"
Sharon,Brett,Trial Attorney,5,"Trump, Obama"
Susan,Bricklin,Senior Litigation Counsel,38,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bill,Briggs,Assistant United States Attorney (DC) (Senior Litigation Counsel),8,"Reagan, Carter, Ford"
Shalom,Brilliant,Senior Trial Counsel,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Robert,Brink,Deputy Assistant Attorney General,4,Clinton
Kathleen,Brinkman,Assistant United States Attorney SDOH,24,"Bush II, Clinton, Bush I, Reagan, Carter"
Harland,Britz,"Assistant United States Attorney, Northern District of Ohio",2.3,Kennedy
Stacey,Brodsky,"Chief, Civil Division SDNY",5,"Bush I, Reagan, Carter"
David,Brodsky,"Assistant United States Attorney, SDNY; Associate Independent Counsel, Washington, DC",5,Nixon
William,Brodsky,Assistant United States Attorney,4,"Ford, Nixon"
Michael,Bromwich,Inspector General,11,"Clinton, Bush I, Reagan"
Jennifer ,Bronson ,Correctional Health Statistician ,5,"Trump, Obama"
Barbara,Brook,Special Litigation Counsel,28,"Obama, Bush II, Clinton, Bush I"
Bob,Brook,Assistant Section Chief,33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Jo,Brooks,Trial Attorney,6,"Bush I, Reagan"
J.R.,Brooks,United States Attorney for the Northern District of Alabama,4,"Reagan, Carter"
Kathleen,Brosi,Director of complex case management,3,"Reagan, Carter"
Robert,Brouillard,Assistant United States Attorney,22,"Obama, Bush II, Clinton, Bush I"
William H,"Browder, Jr",First Assistant United States Attorney,31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Roberta,Brown,Legal Counsel to United States Attorney,14,"Bush II, Clinton, Bush I"
Mahlon,Brown,"United States Attorney, Nevada",4,Carter
Jennifer,Brown,Assistant United States Attorney,3.5,Clinton
Iris,Brown,Trial Attorney,2,Carter
Evelyn Diaz,Brown,Court Aministrator,21,"Bush II, Clinton, Bush I, Reagan"
Jason,Brown,"Chief of the Criminal Division, EDNY",9,"Clinton, Bush I"
Jason ,Brown,"Chief of the Criminal Division, EDNY",9,"Clinton, Bush I"
Allison,Brown,Trial Attorney,6,"Obama, Bush II"
Deborah,Brown,Trial Attorney,2,Clinton
Terence,Brown,Special Trial Attorney,3,"Ford, Nixon"
H. Lowell,Brown,Assistant United States Attorney for the District of Columbia,4,"Reagan, Carter"
Daniel,Brown,Trial Attorney,6,"Bush I, Reagan"
Steph,Browne,Assistant United States Attorney,22,"Obama, Bush II, Clinton, Bush I"
Jay,Brozost,Senior Trial attorney  Fraud Section Criminal Division ,11,"Reagan, Carter"
Anthony,Bruce,Senior Litigation Counsel ,38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
James,Bruen,Chief of Civil Division N. D. Cal. ,7,"Carter, Ford, Nixon"
Jules,Brunner,"Chief, Pittsburgh Organized Crime Strike Force",5,"Nixon, Johnson"
Ronald,Brunson,Senior Litigation Counsel,15,"Bush II, Clinton, Bush I, Reagan"
John,Bryson,Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Nancy ,Bryson,"Assistant Chief, Environmental Defense Section, Land and Natural Resources Divisionn",5,"Reagan, Carter"
Patricia,Buchanan,"Chief Immigration Unit, Civil Division USAO SDNY",21,"Trump, Obama, Bush II, Clinton"
