First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
David,Ledbetter,Trial Attorney,5,"Reagan, Carter"
Judith F.,Ledbetter,"Assistant Branch Director, Federal Programs Branch, Civil Division",6,"Reagan, Carter"
Jeffrica,Lee,Staff Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Deborah ,Leff,Pardon Attorney,7,"Obama, Carter"
ANTHONY,LEFFERT,Deputy Assistant Special Counsel to the Attorney General,5,"Clinton, Bush I"
Brian,Legghio,Assistant United States Attorney,7,"Bush I, Reagan"
Myron,Lehtman,Senior Trial Attorney,32,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Michael,Leibson,Senior Litigation Counsel,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jessica,Leinwand,Trial Attorney,3,Obama
David,Leiwant,Assistant United States Attorney,4,Reagan
Charles,Lembcke,Assistant United States Attorney,5,"Ford, Nixon"
Richard,Leng,Assistant United States Attorney,5,"Carter, Ford"
John,Leonardo,United States Attorney,25,"Obama, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Jessica,Lerner,Trial Attorney,5,Clinton
Sean,Lev,"Attorney, Civil Division, Appellate Staff",3,Clinton
Harriet,Leva,Assistant United States Attornehy,6,"Bush I, Reagan"
Andrew,Levchuk,Senior Trial Attorney,24,"Bush II, Clinton, Bush I, Reagan"
Andrew,Leven,"Senior Litigation Counsel, Healthcare & Government Fraud Unit",23,"Trump, Obama, Bush II, Clinton, Bush I"
Laurie,Levenson,"Chief of Training and Appeals, Central District of California ",8,"Reagan, Carter"
Marc,Levey,"Senior Trial Attorney, Special Attorney to the Attorney General",4,Carter
Joshua,Levin,"Senior Trial Attorney, ENRD ",27,"Trump, Obama, Bush II, Clinton, Bush I"
S. Michael,Levin,Attorney-in-Charge Southeast Organized Crime Strike Force,13,"Reagan, Carter, Ford, Nixon"
Steven,Levin,"Deputy Criminal Chief, USAO District of Maryland ",10,"Bush II, Clinton"
Ronald,Levine,"Chief, Criminal Division, U.S. Attorney’s Office (EDPa)",17,"Bush II, Clinton, Bush I, Reagan"
Alan,Levine,Assistant United States Attorney for the Southern District of New York,5,"Carter, Ford"
Annmarie,Levins,"Chief, Financial Crimes ",10,"Clinton, Bush I, Reagan"
Andrew,Levinson,Assistant United States Attorney,29,"Bush II, Clinton, Bush I, Reagan"
David,Leviss,Trial Attorney,7,"Bush II, Clinton"
Pete,Levitas,Trial Attorney,8,"Clinton, Bush I"
Justin,Levitt,Deputy Assistant Attorney General,1.5,Obama
Michael,Levy,"Interim United States Attorney, Eastern District of Pennsylvania",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Neil,Levy,Assistant United States Attorney for DC,4,"Carter, Ford"
Joshua,Levy,Assistant United States Attorney,7,"Bush II, Clinton"
Paul,Levy,Special Assistant to the Solicitor General,1,Carter
Kevin,Lewis,"Principal Deputy Communications Director, Public Affairs",4,Obama
Brad,Lewis,Assistant United States Attorney,7,"Clinton, Bush I"
Paul,Lewis,Trial Attorney,4.5,Clinton
Jim,Lewis ,United States Attorney ,39,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
John,Libby,Assistant United States Attorney,5.5,"Clinton, Bush I"
Nancy,Libin,Chief Privacy and Civil Liberties Officer,3,Obama
Robert,Libman,Special Litigation Counsel,13,"Bush II, Clinton, Bush I"
Sam,Liccardo,"Assistant United States Attorney, Southern District of California",2,Clinton
Victoria,Liccione,Assistant United States Attorney,4,"Clinton, Bush I"
Sheila,Lieber,Deputy Director,40,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Barry,Lieberman,Trial Attorney,8,"Reagan, Carter"
Larry,Liebesman,Senior Trial Attorney,10,"Reagan, Carter, Ford"
Douglas,Liebhafsky,"Assistant Chief Appellate Attorney (Criminal Division), SDNY",4,"Nixon, Johnson"
Ron,Liebman,Assistant United States Attorney District of Maryland,8,"Reagan, Carter, Ford, Nixon"
Steven,Liewehr,"Attorney Advisor, Foreign Claims Settlement Commission",5,"Obama, Bush II"
Sarah,Light,"Chief, Environmental Protection Unit, U.S. Attorney's Office for the Southern District of New York",10,"Obama, Bush II"
Lori,Lightfoot,Assistant United States Attorney,6,"Bush II, Clinton"
Andrea,Likwornik Weiss,"Deputy Chief, Criminal Division, USAO SDNY",12,"Bush II, Clinton, Bush I"
Gary,Lincenberg,Deputy Chief,6.5,"Clinton, Bush I, Reagan"
Lawrence,Lincoln,Executive & Supervisory Assistant US Attorney,27,"Obama, Bush II, Clinton, Bush I, Reagan"
Michael,Lindemann,"Chief, National Security Unit",42,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Frank ,Lindh,Law Clerk to the Solicitor General ,1,Reagan
Susan,Lindquist,Assistant United States Attorney ,28,"Trump, Obama, Bush II, Clinton"
Ellyn Marcus,Lindsay,Senior Litigation Counsel,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Robert,Lindsay,"Chief  Criminal Appeals & Tax Enforcement Policy Section, Tax Division",35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jon,Lindsey,Assistant United States Attorney,6,"Reagan, Carter"
Daniel,Linhardt,Chief White Collar Fraud Unit ,23,"Bush II, Clinton, Bush I, Reagan"
Robin,Linsenmayer,Assistant United States Attorney,5,"Bush II, Clinton"
MIchael,LIpman,Assistant United States Attorney Chief of Fraud Unit,8,"Reagan, Carter, Ford"
Robert,Lipman,Trial Attorney/Assistant U.S. Attorney,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Gregory,Lisa,"Trial Attorney, Organized Crime Section, Criminal Division",12,"Obama, Bush II, Clinton"
Susan,Liss,Deputy Assistant Attorney General,2.5,Clinton
Robert,Litan,Deputy Assistant Attorney General,2,Clinton
Robert,Litt,Principal Associate Deputy Attorney General,11,"Obama, Reagan, Carter"
Mary Shannon,Little,Assistant United States Attorney,4,Reagan
Edward,Little,"Deputy Chief, Criminal Division, United States Attorney’s Office, SDNY",8,Reagan
Alex,Little,Assistant United States Attorney,7,"Obama, Bush II"
martin,Littlefield,First Assistant United States Attorney,27,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Matthew,Littleton,Trial Attorney,6,"Trump, Obama"
Sanford (“Sandy”),Litvack,Assistant Attorney General,4,"Bush II, Carter, Kennedy"
Donn,Livingston,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Jeffrey,Livingston ,Assistant US Attorney,5,"Reagan, Carter"
Rebecca,Lloyd ,Trial Attorney,8.5,"Clinton, Bush I, Reagan"
Guy,Lnoller,Trial Attorney,1,Nixon
Alan,Lo Re,Assistant Director Civil Division,16,"Obama, Bush II, Clinton"
R. Christopher ,Locke,Assistant United States Attorney,6,Reagan
William ,Lockhart- ( Note article reference in bio below),"Acting US Attorney, District of Utah (7-8 Mos but form won't allow)",1,Ford
Robert,Loeb,Special Appellate Counsel,24,"Obama, Bush II, Clinton, Bush I, Reagan"
Karen,Loeffler,United States Attorney District of Alaska,29,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Michael,LoGalbo,Assistant United States Attorney/Section Chief OCDETF,13,"Trump, Obama, Bush II"
Rebecca,Lonergan,"Deputy Chief Public Integrity Section, U.S.A.O. Central District of California",16,"Bush II, Clinton, Bush I"
Debra,Long-Doyle,Executive Assistant U.S. Attorney DC for Community Relations,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Christy ,Lopez ,Deputy Chief,11,"Obama, Clinton"
Luz,Lopez-Ortiz,Senior Trial Attorney,18.5,"Trump, Obama, Bush II, Clinton"
Sara,Lord,Assistant United States Attorney ,27,"Obama, Bush II, Clinton, Bush I, Reagan"
Thomas,Lorenzen,"Assistant Chief, Environmental Defense Section",16,"Obama, Bush II, Clinton"
Walter,Loughlin,"Chief Appellate Attorney, SDNY ",4,"Reagan, Carter"
Kenneth,Lowrie,Deputy Section Chief,38,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Mary,Lundberg,Supervisory Assistant United States Attorney,21,"Obama, Bush II, Clinton, Bush I"
John,Lundin,Assistant United States Attorney,2,Nixon
Richard Todd,Luoma,Trial Attorney,4,Reagan
Ira,Lupu,"Professor in Residence, Civil Division, Appellate Staffe Staff",1,Bush I
Nancy,Luque,"Assistant United States Attorney, Deputy Chief, USAO, DC",10,"Bush I, Reagan, Carter"
Debora G,Luther,Assistant United States Attorney,23,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mary,Luxa,Assistant United States Attorney,30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
James,Lynch,Director,2.5,Obama
James,Lyons,Assistant United States Attorney,3,Nixon
Duane,Lyons,Assistant United States Attorney  ,10,"Bush II, Clinton, Bush I"
Marsha,Lyons,Chief Criminal Division U.S. Attorney's Office Miami,8,Nixon
Francis,Lyons,Trial Attorney,5,Clinton
Brian,Maas,"Deputy Chief, Criminal Duvision, EDNY",6,Reagan
Hugh,Mabe,United States Attorney,33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jake,Maccoby,Chief Speechwriter and Strategic Communications Advisor to the Attorney General,3,Obama
Walter,Mack,"Deputy Chief, Crim Div, USAO, SDNY",16,"Bush II, Clinton, Bush I"
Catherine,Mack,Assistant United States Attorney for the District of Columbia,4,Carter
David,Mackey,"First Assistant United States Attorney, D. Mass. ",7,Clinton
Lorraine Newman,Mackler ,Trial Attorney,2,"Bush I, Reagan"
Michael,MacQueen,"Chief of Investigative Research, OSI, Criminal Division",20,"Obama, Bush II, Clinton, Bush I, Reagan"
Kathryn,Maddox Springstead,FBI Special Agent,8,"Bush II, Clinton"
Michael,Magner,Supervisory Assistant United States Attorney,20,"Obama, Bush II, Clinton, Bush I"
Bob,Maher,Assistant Section Chief,31,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Maier,Appellate Attorney,33,"Obama, Bush II, Clinton, Bush I, Reagan"
Sarah,Maldonado,Attorney,5,Clinton
Harold,Malkin,Supervisory Assistant United States Attorney ,20,"Obama, Clinton, Bush I, Reagan"
Janes,Malone,Senior Trial Attorney,7.5,"Reagan, Carter, Ford, Nixon"
Ryan,Malone,Assistant United States Attorney,2,Obama
Ronald,Malone,Assistant Watergate Special Prosecutor,6,"Carter, Ford, Nixon"
Phil,Malone,Senior Trial Attorney,20,"Bush II, Clinton, Bush I, Reagan"
Michael,Maltz,GS-15 Operations Analyst,3,Nixon
Nina,Mandel,Assistant United States Attorney ,9,"Clinton, Bush I"
David,Mandel ,Assistant United States Attorney,6,"Clinton, Bush I"
Randy,Maney,"Chief, Southern Criminal Enforcement Section, Tax Division ",28,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Gerald S,Manning,Senior Trial Attorney,4,Reagan
Meredith,Manning,Assistant United States Attorney for the District of Columbia,4,"Bush II, Clinton"
Stephen,Manning,"Assistant United States Attorney, D. Conn.",10,"Clinton, Bush I"
Janene,Marasciullo,Trial Attorney,10,"Bush II, Clinton, Bush I, Reagan"
Michele,Marchand,Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I, Reagan"
Aaron,Marcu,Associate United States Attorney (SDNY),7,"Bush I, Reagan"
James,Marcus,Assistant United States Attorney,7,Nixon
Eric,Marcy,Senior Litigation Counsel,27,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Robert,Marder,Assistant United States Attorney,5,"Johnson, Kennedy"
Vincent,Marella,"Assistant United States Attorney, Assistant Chief of Criminal Division, Central District of California ",5,Ford
Roxane,Marenberg,Assistant US Attorney for the District of Columbia,6,"Bush I, Reagan"
Craig,Margolis,Assistant United States Attorney,5,"Bush II, Clinton"
Renato,Mariotti,Assistant United States Attorney,9,"Obama, Bush II"
Patrick,Markey,Trail Attorney - Civil Rights Division ,4,Clinton
Sheila,Markin,Assistant United States Attorney,4,Reagan
Kathy,Marks,Deputy Chief of Appeals,15,"Bush II, Clinton, Bush I"
Jonathan,Marks,Investigative Counsel (OIG),34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Kent,Markus,Deputy Chief of Staff & Counselor to the Attorney General,4,Clinton
David,Marlin,Trial Attorney ,4,"Johnson, Kennedy"
Myron,Marlin,"Director, Office of Public Affairs",8,Clinton
Michael ,Marrs,Chief Narcotics Prosecution Unit U S Attorney’s Office Nothern District of Illinois ,5,"Ford, Nixon"
Bruce,Marshack,Assistant United States Attorney,17,"Bush II, Clinton, Bush I, Reagan"
S. Amanda,Marshall,United States Attorney for the District of Oregon,4,Obama
Shauna,Marshall,Trial Attorney Antitrust Division,5,"Reagan, Carter"
Edith,Marshall,"Assistant United States Attorney, Deputy Chief Civil Division, Washington DC USAO",15,"Clinton, Bush I, Reagan"
Jody,Marten,Adjudications/INS Headquarters,7,"Bush II, Clinton"
John,Marti,"Acting United States Attorney, First Assistant United States Attorney",18,"Obama, Bush II, Clinton"
John,Martin,Assistant United States Attorney,5,Bush II
Robert,Martin,Special Assistant United States Attorney,1,Reagan
Jennifer,Martin,"Senior Counsel, Criminal Division",5,"Bush II, Clinton"
Ralph Drury,Martin,Senior Trial Attorney,14,"Bush I, Reagan, Carter, Ford"
Stephen,Martin,Assistant United States Attorney DC,4,Clinton
John,Martin,Trial Attorney,3,"Clinton, Bush I"
Erica,Martin,Special Assistant United States Attorney,6,"Bush II, Clinton"
David,Martin,"General Counsel, Immigration and Naturalization Service",2.5,Clinton
John,Martin,"Assistant United States Attorney, E.D. VA",11,"Clinton, Bush I, Reagan"
Gerard,Martin,Assistant United States Attorney,7,"Carter, Ford, Nixon"
Frederick,Martin,"Assistant United States Attorney, MDPA",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Robert,Martinez,Assistant United States Attorney,6,Reagan
Jeff,Martino,"Chief, New York Office, Antitrust Division",18,"Trump, Obama, Bush II, Clinton, Bush I"
Nancy,Marvel,Trial Attorney ,3,"Reagan, Carter"
Alan,Marx,"Special Litigation Counsel to the Assistant Attorney General, Antitrust Division",17,"Reagan, Carter, Ford, Nixon"
Michael,Marzano,"Administrative Officer, GS-15",24,"Trump, Obama, Bush II, Clinton"
Karol,Mason,Assistant Attorney General for the Office of Justice Programs,7,Obama
Christine,Mason,"Line Attorney, Appellate Section, Tax Division",7,"Obama, Bush II"
Peter,Mason,"Assistant United States Attorney, Trial Attorney",11,"Obama, Bush II"
Mary Anne,Mason,Assistant United States Attorney,5,"Reagan, Carter"
Jerry,Massie,Senior Trial Attorney,29,"Obama, Bush II, Clinton"
Grace,Mastalli,Deputy Assistant Attorney General,26,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Barry,Master,Assistant United States Attorney,2,Carter
Bill,Mathesius,Assistant United States Attorney,3.5,"Johnson, Kennedy"
John,Mathews ,Assistant United States Attorney ,5.5,"Trump, Obama"
Larry (Clifford),Mathews Jr,Chief Criminal Division United States Attorney for the Western District of Texas,24,"Bush II, Clinton, Bush I, Reagan"
Christopher,Mattei,"Chief, Financial Fraud & Public Corruption Unit, District of Connecticut",8,"Obama, Bush II"
Alice,Mattice,Senior Attorney,12,"Bush II, Clinton, Bush I, Reagan, Carter"
Howard,Matz,Assistant United States Attorney,4.5,"Carter, Ford, Nixon"
Jeremy,Matz,Assistant United States Attorney,13,"Obama, Bush II, Clinton"
Thomas,Mauet,"Assistant United States Attorney, Deputy Chief, Criminal Receiving and Appeals Division",4,Carter
David,Maurer,Assistant United States Attorney EDMI,3,"Reagan, Carter"
Gary,Maveal,Assistant United States Attorney,4,Reagan
James,Maxeiner,Trial Attorney (Honors Program),3,Carter
Melissa,Maxman,Assistant United States Attorney,3,"Clinton, Bush I"
Marilyn,May,Assistant United States Attorney ,22,"Obama, Bush II, Clinton, Bush I"
James,May,"Trial Attorney, Antitrust Division",5,"Reagan, Carter"
Daniel,May,"Assistant United States Attorney, NDIL",27,"Trump, Obama, Bush II, Clinton, Bush I"
Manvin,Mayell,Assistant United States Attorney,7.5,"Clinton, Bush I"
Rosanne,Mayer,Trial Attorney,3,"Reagan, Carter"
Ed,McAndrew,Assistant United States Attorney,9,"Obama, Bush II"
Karen,McAndrew,Assistant United States Attorney,2.5,"Reagan, Carter"
Cameron,McBride,Assistant United States Attorney,18,"Obama, Bush II, Clinton"
John Robert,McBrien,"Special Attorney, Organized Crime & Racketeering Section, Criminal Division",2,Nixon
Harry,McCarthy,"Chief of Criminal Division, W.D. Wa 1994-1998",28,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
G Daniel,McCarthy,Assistant United States Attorney,2,Carter
Sharon,McCarthy,"Chief, Violent Crimes Unit SDNY",12,"Bush II, Clinton"
Mary,McClymont,Trial Attorney,5,Carter
David,McComb,Assistant United States Attorney,7,"Clinton, Bush I"
Stephen,McConnell,Assistant United States Attorney,5,"Clinton, Bush I"
Mary,McCord,Acting Assistant Attorney General for National Security,23,"Trump, Obama, Bush II, Clinton"
Daniel,McCuaig,Trial Attorney,11,"Trump, Obama, Bush II"
Kathleen,McDermott,Assistant United States Attorney (D.Md.),8,"Clinton, Bush I"
James,McDonald,Assistant United States Attorney,2,Carter
John,McDonald,"Deputy Director, Office of Indian Right, Civil Rights Division",3,"Ford, Nixon"
Terrence,McDonald,Senior Trial attorney,23,"Clinton, Bush I, Reagan, Carter, Ford"
Harold,McDonough,First Assistant United States Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan"
Georgina,McDowell,Senior Policy Advisor,3,Obama
Joel,McElvain,Assistant Branch Director,21,"Trump, Obama, Bush II, Clinton"
Lane,McFadden,"Appellate Attorney, Environment and Natural Resources Division",14,"Trump, Obama, Bush II"
Thomas,McFarland ,"Chief, Civil Division, Long Island Branch, EDNY",32.5,"Obama, Bush II, Clinton, Bush I, Reagan"
Harriet,McFaul,Assistant United States Attorney,8,"Reagan, Carter"
Daphene,Mcferren,Counsel to Attorney General Janet Reno,10.5,"Bush II, Clinton"
Scott,McGee,Assistant United States Attorney,4,"Reagan, Carter"
Mary Beth,McGee,"Counsel to the Director of Civil Enforcement, Antitrust Division",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
James,McGinnis,"Assistant United States Attorney, CD Cal",4,Reagan
Glen,McGorty,Assistant United States Attorney/Senior Trial Counsel,15,"Obama, Bush II, Clinton"
Katherine,McGovern,Assistant United States Attorney,24.1,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Sharon,McGowan,"Principal Deputy Chief, Appellate Section, Civil RIghts Division",6,"Trump, Obama"
Hope P.,McGowan,"Senior Attorney-Advisor, Office of the Pardon Attorney",24,"Obama, Bush II, Clinton, Bush I"
Claire,McGuire,Staff Attorney,8,"Reagan, Carter"
James ,McGurk,Assistant United States Attorney,4.5,"Carter, Ford"
Patrick,McInerney,Assistant United States Attorney,5,Clinton
John,McKay,United States Attorney,7,"Bush II, Bush I"
Sarah,McKee,"General Counsel, Interpol U.S. National Central Bureau",11,"Clinton, Bush I, Reagan"
Margaret ,McKenna,Trial Attorney,4,"Ford, Nixon"
Christine,McKenna,Assistant United States Attorney ,7,"Reagan, Carter"
Mary,McLaren,Assistant United States Attorney,36,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Patrick,McLaughlin,Assistant United States Attorney,21,"Obama, Bush II, Clinton, Bush I"
Lisa,McLish,Trial Attorney,15,"Bush II, Clinton"
Nancy,McMillen,Trial Attorney,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,McNeely,Trial Attorney,12,"Reagan, Carter, Ford"
Ron,McNeil,"Senior Litigation Counsel, NDDS, Criminal Division, Washington, DC",19,"Obama, Bush II, Clinton, Bush I"
Barbara,McQuade,"US Attorney, EDMI",19,"Trump, Obama, Bush II, Clinton"
Thomas K.,McQueen,"N.D. Il, Deputy Chief, Criminal Division",5,"Carter, Ford, Nixon"
Joseph,McSorley,Chief Assistant United States Attorney,17,"Reagan, Carter, Ford, Nixon"
Richard  J,Medalie,Assistant to the Solicitor General,3,Kennedy
Christine,Meding,Assistant United States Attorney,4.5,Bush II
James,Melendres,Counsel to the Assistant Attorney General,9,"Obama, Bush II"
Kate,Melendres,Trial Attorney,8,"Obama, Bush II"
Patricia,Mellon,Trial Attorney,4,Reagan
Thomas,Melsheimer,Assistant United States Attorney,3,"Clinton, Bush I"
Ellen,Meltzer,"Special Counsel, Fraud Section, Criminal Division",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Scott,Mendeloff,Special Attorney to the United States Attorney General,11,"Clinton, Bush I, Reagan"
George,Mendelson,"Deputy Chief, Multinational Fraud Branch, Criminal Division",7,"Reagan, Carter, Ford, Nixon"
Gabriel,Mendlow,Special Assistant United States Attorney,3,Obama
Pamela,Merchant,Senior Trial Attorney,8,"Clinton, Bush I"
David ,Mernitz ,"Trial Attorney Criminal Division, Organized Crime",3,Kennedy
Ted,Merritt,"Assistant United States Attorney, MA",41,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Richard,Mescon,Assistant United States Attorney SDNY,5.5,"Reagan, Carter"
Idalia,Mestey-Borges,Assistant United States Attorney,4.5,"Obama, Bush II"
Daniel,Metcalfe,"Director, Office of Information and Privacy, ES-5",30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jeffrey,Metzger,Trial Attorney,4,Reagan
Larry,Meuwissen,Senior Trial Attorney ,8,"Reagan, Carter"
John,Meyer,Assistant United States Attorney,6,"Ford, Nixon"
William,Meyer,Assistant United States Attorney,3,Bush I
Richard,Mezan,Special Trial.Attorney,3,"Nixon, Johnson"
Leonard ,Michaels,"Acting Attorney in Charge, Organized Crime Strike Force, Easter District of New York ",7,Bush I
Judge Paul R.,Michel,Associate Deputy Attorney General & Assistant Watergate Special Prosecutor,7,"Reagan, Carter, Ford"
Michael,Middleton,Senior Trial Attorney,4,Nixon
Todd,Mikolop,Trial Attorney,10,"Obama, Bush II"
Amy,Millard,"Assistant United States Attorney, SDNY",9,"Clinton, Bush I, Reagan"
Celeste,Miller,Assistant United States Attorney,24.5,"Obama, Bush II, Clinton, Bush I, Reagan"
Joshua,Miller,Staff Operations Specialist,6,"Trump, Obama"
Edward,Miller,Senior Trial Attorney,8,"Clinton, Bush I"
Matthew,Miller,"Director, Office of Public Affairs",3,Obama
Winston,Miller,Trial Attorney,5,Ford
Tamara,Miller,Deputy Chief,7,"Clinton, Bush I"
Gayle,Miller,Reviewing Attorney,30,"Bush II, Clinton, Bush I, Reagan, Carter"
Mark,Miller,Supervisory Attorney Adviser ,35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jan,Miller,United States Attorney for the Central District of Illinois,16,"Bush II, Clinton, Bush I"
Barbara L,Miller,Assistant United States Attorney ,16,"Clinton, Bush I, Reagan"
Barry,Miller,"Assistant United States Attorney, ND Illinois; Trial Attorney, Civil Rights Division",12,"Obama, Bush II, Clinton, Reagan, Carter"
Steven A.,Miller,"Chief, Special Prosecutions Division, N Dist Illinois",17,"Clinton, Bush I, Reagan"
Charles,Miller,Office of Pulbic Affairs Press Officer,18,"Obama, Bush II, Clinton"
Joe,Miller,Assistant Chief,12,"Obama, Bush II, Clinton"
Tommy ,Miller,"Deputy Chief, Crminal Division, EDVA",7,"Reagan, Carter"
Eric,Miller,"Trial Attorney, Civil Division",2,Reagan
Floyd,Miller,Trial Attorney - Tax Division ,27,"Trump, Obama, Bush II, Clinton"
Thomas,Millet,Assistant Branch Director,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Millikin,Assistant United States Attorney,2,"Carter, Ford"
David,Mills,Assistant United States Attorney,3,Bush I
Marguerite,Mills,Trial Attorney,6,"Bush II, Clinton"
Cynthia,Millsaps,"Special Legal Counsel, Assistant United States Attorney",31,"Obama, Bush II, Clinton, Bush I"
Paul,Milmed,"Chief, Environmental Protection, USAO, SDNY",10,"Clinton, Bush I, Reagan"
Lawrence,Minch,Trial Attorney,9,"Bush II, Clinton"
James,Miskiewicz,"Deputy Chief, Long Island Criminal Division, EDNY",25,"Obama, Bush II, Clinton, Bush I"
Stacey,Mitchell,"Chief - Environmental Crimes Section, ENRD",16,"Obama, Bush II, Clinton"
Marion,Mittet,Assistant United States Attorney,24,"Obama, Bush II, Clinton, Bush I"
Jeff ,Modisett ,"Deputy Chief, Public Corruption & Govt Fraud Div., US Attorney’s Office (C. Dist. CA)",6,Reagan
Alan,Modlinger,Trial Attorney,3,Bush II
Gregory,Moffatt,"Deputy Chief, Anti-terrorism and National Security Section, D. Mass.",7,"Bush II, Clinton"
Josh,Mogil,Special Assistant to the Deputy Attorney General,2,Obama
Tiffany,Moller ,"Assistant United States Attorney, SDNY",5,Bush II
Patrick,Molloy,US Attorney Eastern District of Kentucky 1977 to 1981,37,"Obama, Clinton, Bush I, Reagan, Carter, Johnson"
Megan,Moloney,Attorney/Advisor,8,"Trump, Obama"
MJ,Moltenbrey ,"Director, Civil Enforcement",17,"Bush II, Clinton, Bush I, Reagan"
Thomas,Monaghan,"United States Attorney, Nebraska",8,Clinton
Rebecca,Monck Ricigliano ,"Chief, Narcotics Unit Assistant US Attorney SDNY",9,"Obama, Bush II"
Jennifer ,Mondino,Senior Trial Attorney,8,"Trump, Obama"
Herbert,Mondros,"Trial Attorney, Assistant United States Attorney",5,"Clinton, Bush I"
Becky,Monroe,"Acting Director, Community Relations Service",9,"Obama, Clinton"
Lloyd,Monroe,"Special Attorney, Criminal Division, Organized Crime & Racketeering Section; Assistant United States Attorney, Southern District of Indiana",10,"Bush I, Reagan, Carter"
Peter,Monson,"Assistant Chief, Indian Resources Section, ENRD",32,"Obama, Bush II, Clinton, Bush I, Reagan"
James,Montana,"Assistant US Attorney, Chief, Criminal Receiving and  Appelate Section, US Attorney's Office, Northern District of Illinois",4,"Ford, Nixon"
Cheryl,Montgomery,Assistant to the Attorney General ,5,Clinton
Bobbie,Montoya,Assistant United States Attorney,35,"Obama, Bush II, Clinton, Bush I, Reagan"
John,Moore,"Assistant United States Attorney, Civil Chief Southern Distict of Illinois",18,"Obama, Bush II, Clinton"
Julian,Moore,Assistant United States Attorney ,7.5,"Obama, Bush II"
Craig,Moore,United States Attorney,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Gary,Moore,"Assistant United States Attorney, Affirmative Civil Enforcement ",10,"Obama, Bush II"
Paul ,Moore,Trial Attorney ,6,"Bush II, Clinton"
Molly,Moran,"Deputy Chief of Staff & Counselor to Attorney General Eric Holder, Jr.",7,Obama
Pamela,Moreau,Trial Attorney,9,"Bush II, Clinton, Bush I"
Ignacia S.,Moreno,"Assistant Attorney General, Environment and Natural Resources Division",11,"Obama, Clinton"
Joelle ,Moreno,Trial Attorney,4,"Clinton, Bush I"
Blondell ,Morey ,First Assistant ED Michigan,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Shawn,Morgan,Criminal Chief/Assistant US Attorney,14,"Obama, Bush II"
James,Moroney,"Chief, National Security Unit, USAO N.D. Ohio",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Morris,Assistant United States Attorney,4,Bush I
Marvin,Morse,Administrative Law Judge,15,"Bush II, Clinton, Bush I, Reagan"
Anita,Mortimer,Assistant United States Attorney,17,"Clinton, Bush I, Reagan, Carter"
Jane,Moscowitz,Senior Litigation Counsel,9,"Reagan, Carter"
Norman ,Moscowitz,Senior Litigation Counsel,14,"Clinton, Bush I, Reagan, Carter"
Charles,Moses,"Deputy General Counsel, Office of Justice Programs ( Agency Ethics Officer)",23,"Trump, Obama, Bush II, Clinton"
Jenny,Mosier,Deputy Chief of Staff and Counselor to the Attorney General,5,Obama
Avraham,Moskowitz,Assistant United States Attorney,5,"Bush I, Reagan"
Sarah,Moss,"Special Assistant, Office of the Attorney General",1,Obama
